# Memristor Strukov (2008) — Simulación numérica
# Generado: 2026-05-18T21:20:17.519648
# scenario: fig2b_unity
time_s,voltage_V,current_A,current_mA,resistance_Ohm,state_variable_x,memristance_Ohm
2.560000e-02,8.033810e-02,5.579076e-06,5.579076e-03,14399.8135,0.100641,14399.8135
2.570000e-02,8.065124e-02,5.600853e-06,5.600853e-03,14399.7338,0.100646,14399.7338
2.580000e-02,8.096437e-02,5.622630e-06,5.622630e-03,14399.6539,0.100651,14399.6539
2.590000e-02,8.127750e-02,5.644406e-06,5.644406e-03,14399.5736,0.100656,14399.5736
2.600000e-02,8.159061e-02,5.666182e-06,5.666182e-03,14399.4930,0.100661,14399.4930
2.610000e-02,8.190372e-02,5.687959e-06,5.687959e-03,14399.4121,0.100666,14399.4121
2.620000e-02,8.221682e-02,5.709734e-06,5.709734e-03,14399.3309,0.100671,14399.3309
2.630000e-02,8.252991e-02,5.731510e-06,5.731510e-03,14399.2494,0.100676,14399.2494
2.640000e-02,8.284299e-02,5.753286e-06,5.753286e-03,14399.1676,0.100681,14399.1676
2.650000e-02,8.315607e-02,5.775061e-06,5.775061e-03,14399.0855,0.100686,14399.0855
2.660000e-02,8.346914e-02,5.796836e-06,5.796836e-03,14399.0030,0.100692,14399.0030
2.670000e-02,8.378220e-02,5.818611e-06,5.818611e-03,14398.9203,0.100697,14398.9203
2.680000e-02,8.409525e-02,5.840386e-06,5.840386e-03,14398.8372,0.100702,14398.8372
2.690000e-02,8.440829e-02,5.862160e-06,5.862160e-03,14398.7538,0.100707,14398.7538
2.700000e-02,8.472132e-02,5.883934e-06,5.883934e-03,14398.6701,0.100713,14398.6701
2.710000e-02,8.503435e-02,5.905708e-06,5.905708e-03,14398.5862,0.100718,14398.5862
2.720000e-02,8.534736e-02,5.927482e-06,5.927482e-03,14398.5018,0.100723,14398.5018
