voltage_V,current_mA
0.407215,0.028820
0.407502,0.028841
0.407789,0.028863
0.408076,0.028884
0.408362,0.028905
0.408649,0.028926
0.408936,0.028947
0.409222,0.028968
0.409509,0.028990
0.409796,0.029011
0.410082,0.029032
0.410369,0.029053
0.410655,0.029074
0.410942,0.029095
0.411228,0.029117
0.411514,0.029138
0.411801,0.029159
0.412087,0.029180
0.412373,0.029201
0.412659,0.029222
0.412945,0.029244
0.413232,0.029265
0.413518,0.029286
0.413804,0.029307
0.414090,0.029328
0.414376,0.029349
0.414661,0.029371
0.414947,0.029392
0.415233,0.029413
0.415519,0.029434
0.415805,0.029455
0.416090,0.029476
0.416376,0.029497
0.416662,0.029519
0.416947,0.029540
0.417233,0.029561
0.417518,0.029582
0.417804,0.029603
0.418089,0.029624
0.418374,0.029645
0.418660,0.029667
0.418945,0.029688
0.419230,0.029709
0.419515,0.029730
0.419801,0.029751
0.420086,0.029772
0.420371,0.029793
0.420656,0.029815
0.420941,0.029836
0.421226,0.029857
0.421511,0.029878
0.421796,0.029899
0.422080,0.029920
0.422365,0.029941
0.422650,0.029962
0.422935,0.029984
0.423219,0.030005
0.423504,0.030026
