t_s,V_signal_V,I_out_A,x_state
0.016850,1.009982,2.441693e-06,0.590410
0.016900,1.012693,2.485697e-06,0.596674
0.016950,1.015400,2.531131e-06,0.602949
0.017000,1.018106,2.578063e-06,0.609235
0.017050,1.020809,2.626569e-06,0.615530
0.017100,1.023509,2.676726e-06,0.621836
0.017150,1.026207,2.728618e-06,0.628151
0.017200,1.028902,2.782336e-06,0.634475
0.017250,1.031595,2.837976e-06,0.640808
0.017300,1.034285,2.895641e-06,0.647150
0.017350,1.036973,2.955441e-06,0.653500
0.017400,1.039658,3.017496e-06,0.659857
0.017450,1.042341,3.081933e-06,0.666222
0.017500,1.045021,3.148890e-06,0.672594
0.017550,1.047698,3.218515e-06,0.678973
0.017600,1.050373,3.290970e-06,0.685359
0.017650,1.053045,3.366428e-06,0.691751
0.017700,1.055715,3.445077e-06,0.698149
0.017750,1.058382,3.527121e-06,0.704552
0.017800,1.061046,3.612783e-06,0.710961
0.017850,1.063708,3.702305e-06,0.717375
0.017900,1.066367,3.795951e-06,0.723794
0.017950,1.069024,3.894010e-06,0.730217
0.018000,1.071677,3.996798e-06,0.736645
0.018050,1.074329,4.104663e-06,0.743076
0.018100,1.076977,4.217987e-06,0.749512
0.018150,1.079623,4.337192e-06,0.755951
0.018200,1.082267,4.462745e-06,0.762393
0.018250,1.084907,4.595164e-06,0.768837
0.018300,1.087545,4.735022e-06,0.775285
0.018350,1.090180,4.882962e-06,0.781735
0.018400,1.092813,5.039700e-06,0.788188
0.018450,1.095443,5.206042e-06,0.794642
0.018500,1.098070,5.382892e-06,0.801098
0.018550,1.100694,5.571275e-06,0.807555
0.018600,1.103316,5.772352e-06,0.814014
0.018650,1.105935,5.987443e-06,0.820474
0.018700,1.108551,6.218064e-06,0.826935
0.018750,1.111165,6.465950e-06,0.833396
0.018800,1.113776,6.733111e-06,0.839858
0.018850,1.116384,7.021878e-06,0.846320
0.018900,1.118989,7.334975e-06,0.852782
0.018950,1.121592,7.675604e-06,0.859243
0.019000,1.124191,8.047555e-06,0.865705
0.019050,1.126788,8.455346e-06,0.872165
0.019100,1.129383,8.904409e-06,0.878625
0.019150,1.131974,9.401333e-06,0.885084
0.019200,1.134563,9.954186e-06,0.891542
0.019250,1.137149,1.057296e-05,0.897998
0.019300,1.139732,1.127018e-05,0.904453
0.019350,1.142312,1.206174e-05,0.910906
0.019400,1.144889,1.296818e-05,0.917357
0.019450,1.147464,1.401642e-05,0.923806
0.019500,1.150036,1.524255e-05,0.930253
0.019550,1.152604,1.669601e-05,0.936697
0.019600,1.155171,1.844644e-05,0.943139
0.019650,1.157734,2.059516e-05,0.949578
0.019700,1.160294,2.329551e-05,0.956014
0.019750,1.162852,2.679112e-05,0.962448
0.019800,1.165406,3.149384e-05,0.968878
0.019850,1.167958,3.815927e-05,0.975304
0.019900,1.170507,4.833992e-05,0.981727
0.019950,1.173053,6.581203e-05,0.988147
0.020001,1.175596,1.027778e-04,0.994563
0.020051,1.178136,2.330165e-04,1.000000
0.020101,1.180673,2.485628e-04,1.000000
0.020151,1.183208,2.490964e-04,1.000000
0.020201,1.185739,2.496293e-04,1.000000
0.020251,1.188268,2.501616e-04,1.000000
0.020301,1.190793,2.506933e-04,1.000000
0.020351,1.193316,2.512244e-04,1.000000
0.020401,1.195836,2.517549e-04,1.000000
0.020451,1.198352,2.522847e-04,1.000000
0.020501,1.200866,2.528139e-04,1.000000
0.020551,1.203377,2.533425e-04,1.000000
0.020601,1.205885,2.538705e-04,1.000000
0.020651,1.208390,2.543979e-04,1.000000
0.020701,1.210892,2.549246e-04,1.000000
0.020751,1.213391,2.554507e-04,1.000000
0.020801,1.215887,2.559761e-04,1.000000
0.020851,1.218379,2.565009e-04,1.000000
0.020901,1.220869,2.570251e-04,1.000000
0.020951,1.223356,2.575487e-04,1.000000
0.021001,1.225840,2.580716e-04,1.000000
0.021051,1.228321,2.585939e-04,1.000000
0.021101,1.230799,2.591156e-04,1.000000
0.021151,1.233274,2.596366e-04,1.000000
0.021201,1.235745,2.601569e-04,1.000000
0.021251,1.238214,2.606767e-04,1.000000
0.021301,1.240680,2.611957e-04,1.000000
0.021351,1.243142,2.617142e-04,1.000000
0.021401,1.245602,2.622320e-04,1.000000
0.021451,1.248058,2.627491e-04,1.000000
0.021501,1.250512,2.632656e-04,1.000000
0.021551,1.252962,2.637815e-04,1.000000
0.021601,1.255409,2.642967e-04,1.000000
0.021651,1.257853,2.648112e-04,1.000000
0.021701,1.260294,2.653251e-04,1.000000
0.021751,1.262732,2.658383e-04,1.000000
0.021801,1.265167,2.663509e-04,1.000000
0.021851,1.267598,2.668628e-04,1.000000
0.021901,1.270027,2.673741e-04,1.000000
0.021951,1.272452,2.678847e-04,1.000000
0.022001,1.274875,2.683947e-04,1.000000
0.022051,1.277294,2.689039e-04,1.000000
0.022101,1.279710,2.694126e-04,1.000000
0.022151,1.282122,2.699205e-04,1.000000
0.022201,1.284532,2.704278e-04,1.000000
0.022251,1.286938,2.709344e-04,1.000000
0.022301,1.289342,2.714404e-04,1.000000
0.022351,1.291742,2.719457e-04,1.000000
0.022401,1.294139,2.724503e-04,1.000000
0.022451,1.296532,2.729542e-04,1.000000
0.022501,1.298923,2.734575e-04,1.000000
0.022551,1.301310,2.739601e-04,1.000000
0.022601,1.303694,2.744620e-04,1.000000
0.022651,1.306075,2.749632e-04,1.000000
0.022701,1.308453,2.754638e-04,1.000000
0.022751,1.310827,2.759636e-04,1.000000
0.022801,1.313199,2.764628e-04,1.000000
0.022851,1.315566,2.769614e-04,1.000000
0.022901,1.317931,2.774592e-04,1.000000
0.022951,1.320293,2.779563e-04,1.000000
0.023001,1.322651,2.784528e-04,1.000000
0.023051,1.325006,2.789486e-04,1.000000
0.023101,1.327357,2.794437e-04,1.000000
0.023151,1.329706,2.799381e-04,1.000000
0.023201,1.332051,2.804318e-04,1.000000
0.023251,1.334393,2.809248e-04,1.000000
0.023301,1.336731,2.814171e-04,1.000000
0.023351,1.339066,2.819087e-04,1.000000
0.023401,1.341398,2.823997e-04,1.000000
0.023451,1.343727,2.828899e-04,1.000000
0.023501,1.346052,2.833794e-04,1.000000
0.023551,1.348374,2.838683e-04,1.000000
0.023601,1.350693,2.843564e-04,1.000000
0.023651,1.353008,2.848438e-04,1.000000
0.023701,1.355320,2.853306e-04,1.000000
0.023751,1.357629,2.858166e-04,1.000000
0.023801,1.359934,2.863019e-04,1.000000
0.023851,1.362236,2.867865e-04,1.000000
0.023901,1.364535,2.872705e-04,1.000000
0.023951,1.366830,2.877537e-04,1.000000
0.024001,1.369122,2.882361e-04,1.000000
0.024051,1.371410,2.887179e-04,1.000000
0.024101,1.373695,2.891990e-04,1.000000
0.024151,1.375977,2.896793e-04,1.000000
0.024201,1.378255,2.901590e-04,1.000000
0.024251,1.380530,2.906379e-04,1.000000
0.024301,1.382802,2.911161e-04,1.000000
0.024351,1.385070,2.915936e-04,1.000000
0.024401,1.387334,2.920704e-04,1.000000
0.024451,1.389595,2.925464e-04,1.000000
0.024501,1.391853,2.930217e-04,1.000000
0.024551,1.394108,2.934963e-04,1.000000
0.024601,1.396359,2.939702e-04,1.000000
0.024651,1.398606,2.944434e-04,1.000000
0.024701,1.400850,2.949158e-04,1.000000
0.024751,1.403091,2.953875e-04,1.000000
0.024801,1.405328,2.958585e-04,1.000000
0.024851,1.407561,2.963287e-04,1.000000
0.024901,1.409791,2.967982e-04,1.000000
0.024951,1.412018,2.972670e-04,1.000000
0.025001,1.414241,2.977350e-04,1.000000
0.025051,1.416461,2.982023e-04,1.000000
0.025101,1.418677,2.986689e-04,1.000000
0.025151,1.420890,2.991347e-04,1.000000
0.025201,1.423099,2.995998e-04,1.000000
0.025251,1.425305,3.000642e-04,1.000000
0.025301,1.427507,3.005278e-04,1.000000
0.025351,1.429706,3.009907e-04,1.000000
0.025401,1.431901,3.014528e-04,1.000000
0.025451,1.434092,3.019142e-04,1.000000
0.025501,1.436280,3.023748e-04,1.000000
0.025551,1.438465,3.028347e-04,1.000000
0.025601,1.440646,3.032939e-04,1.000000
0.025651,1.442823,3.037523e-04,1.000000
0.025701,1.444997,3.042099e-04,1.000000
0.025751,1.447167,3.046668e-04,1.000000
0.025801,1.449334,3.051230e-04,1.000000
0.025851,1.451497,3.055784e-04,1.000000
0.025901,1.453657,3.060330e-04,1.000000
0.025951,1.455813,3.064869e-04,1.000000
0.026001,1.457965,3.069400e-04,1.000000
0.026051,1.460114,3.073924e-04,1.000000
0.026101,1.462259,3.078440e-04,1.000000
0.026151,1.464401,3.082949e-04,1.000000
0.026201,1.466539,3.087450e-04,1.000000
0.026251,1.468673,3.091943e-04,1.000000
0.026301,1.470804,3.096429e-04,1.000000
0.026351,1.472931,3.100907e-04,1.000000
0.026401,1.475054,3.105377e-04,1.000000
0.026451,1.477174,3.109840e-04,1.000000
0.026501,1.479290,3.114295e-04,1.000000
0.026551,1.481403,3.118743e-04,1.000000
0.026601,1.483512,3.123182e-04,1.000000
0.026651,1.485617,3.127614e-04,1.000000
0.026701,1.487718,3.132039e-04,1.000000
0.026751,1.489816,3.136455e-04,1.000000
0.026801,1.491910,3.140864e-04,1.000000
0.026851,1.494001,3.145265e-04,1.000000
0.026901,1.496088,3.149658e-04,1.000000
0.026951,1.498171,3.154044e-04,1.000000
0.027001,1.500250,3.158421e-04,1.000000
0.027051,1.502326,3.162791e-04,1.000000
0.027101,1.504398,3.167154e-04,1.000000
0.027151,1.506466,3.171508e-04,1.000000
0.027201,1.508531,3.175854e-04,1.000000
0.027251,1.510592,3.180193e-04,1.000000
0.027301,1.512649,3.184524e-04,1.000000
0.027351,1.514702,3.188847e-04,1.000000
0.027401,1.516752,3.193162e-04,1.000000
0.027451,1.518798,3.197469e-04,1.000000
0.027501,1.520840,3.201768e-04,1.000000
0.027551,1.522878,3.206060e-04,1.000000
0.027601,1.524913,3.210343e-04,1.000000
0.027651,1.526944,3.214619e-04,1.000000
0.027701,1.528971,3.218887e-04,1.000000
0.027751,1.530994,3.223146e-04,1.000000
0.027801,1.533014,3.227398e-04,1.000000
0.027851,1.535030,3.231642e-04,1.000000
0.027901,1.537042,3.235878e-04,1.000000
0.027951,1.539050,3.240105e-04,1.000000
0.028001,1.541055,3.244325e-04,1.000000
0.028051,1.543055,3.248537e-04,1.000000
0.028101,1.545052,3.252741e-04,1.000000
0.028151,1.547045,3.256937e-04,1.000000
0.028201,1.549034,3.261125e-04,1.000000
0.028251,1.551020,3.265304e-04,1.000000
0.028301,1.553001,3.269476e-04,1.000000
0.028351,1.554979,3.273639e-04,1.000000
0.028401,1.556953,3.277795e-04,1.000000
0.028451,1.558923,3.281942e-04,1.000000
0.028501,1.560889,3.286082e-04,1.000000
0.028551,1.562851,3.290213e-04,1.000000
0.028601,1.564810,3.294336e-04,1.000000
0.028651,1.566764,3.298451e-04,1.000000
0.028701,1.568715,3.302558e-04,1.000000
0.028751,1.570662,3.306656e-04,1.000000
0.028801,1.572605,3.310747e-04,1.000000
0.028851,1.574544,3.314829e-04,1.000000
0.028901,1.576479,3.318903e-04,1.000000
0.028951,1.578410,3.322969e-04,1.000000
0.029001,1.580338,3.327027e-04,1.000000
0.029051,1.582261,3.331077e-04,1.000000
0.029101,1.584181,3.335118e-04,1.000000
0.029151,1.586097,3.339151e-04,1.000000
0.029201,1.588009,3.343176e-04,1.000000
0.029251,1.589917,3.347193e-04,1.000000
0.029301,1.591821,3.351201e-04,1.000000
0.029351,1.593721,3.355201e-04,1.000000
0.029401,1.595617,3.359193e-04,1.000000
0.029451,1.597509,3.363177e-04,1.000000
0.029501,1.599397,3.367152e-04,1.000000
0.029551,1.601281,3.371119e-04,1.000000
0.029601,1.603162,3.375077e-04,1.000000
0.029651,1.605038,3.379028e-04,1.000000
0.029701,1.606911,3.382970e-04,1.000000
0.029751,1.608779,3.386903e-04,1.000000
0.029801,1.610644,3.390828e-04,1.000000
0.029851,1.612504,3.394745e-04,1.000000
0.029901,1.614361,3.398654e-04,1.000000
0.029951,1.616213,3.402554e-04,1.000000
0.030001,1.618062,3.406446e-04,1.000000
0.030051,1.619906,3.410329e-04,1.000000
0.030101,1.621747,3.414204e-04,1.000000
